Date,Visiting Team,Visiting team game num,Home,Home team game num,Visiting final score,Home final score,Num outs,Ballpark,Visit line,Home line,
"""20200808""","""DET""",12,"""PIT""",15,11,5,54,"""PIT08""","""510004100""","""002300000""",
"""20200808""","""ARI""",15,"""SDN""",15,3,2,54,"""SAN02""","""000102000""","""100000010""",
"""20200808""","""BAL""",14,"""WAS""",11,5,3,54,"""WAS11""","""000000050""","""020001000""",
"""20200808""","""TOR""",12,"""BOS""",14,2,1,54,"""BOS07""","""000000110""","""010000000""",
"""20200808""","""CLE""",16,"""CHA""",15,7,1,54,"""CHI12""","""000600010""","""000000010""",
"""20200808""","""MIN""",15,"""KCA""",16,6,9,51,"""KAN06""","""000401100""","""10160010x""",
"""20200808""","""HOU""",14,"""OAK""",15,1,3,51,"""OAK01""","""000000001""","""10000101x""",
"""20200808""","""COL""",14,"""SEA""",16,5,0,54,"""SEA03""","""000041000""","""000000000""",
"""20200808""","""NYA""",14,"""TBA""",14,8,4,42,"""STP01""","""0040121""","""0000310""",
"""20200808""","""NYA""",15,"""TBA""",15,3,5,39,"""STP01""","""0001002""","""100220x""",
"""20200808""","""ANA""",15,"""TEX""",13,0,2,51,"""ARL02""","""000000000""","""00000200x""",
"""20200809""","""SFN""",17,"""LAN""",16,2,6,51,"""LOS03""","""000020000""","""00000033x""",
"""20200809""","""CIN""",16,"""MIL""",13,3,9,51,"""MIL06""","""100100001""","""00100620x""",
"""20200809""","""MIA""",10,"""NYN""",16,2,4,51,"""NYC20""","""000020000""","""00210100x""",
"""20200809""","""ATL""",16,"""PHI""",9,5,2,42,"""PHI13""","""0000500""","""0010100""",
"""20200809""","""ATL""",17,"""PHI""",10,8,0,42,"""PHI13""","""0020240""","""0000000""",
"""20200809""","""DET""",13,"""PIT""",16,2,1,54,"""PIT08""","""000010010""","""000100000""",
"""20200809""","""ARI""",16,"""SDN""",16,5,9,51,"""SAN02""","""000000104""","""33300000x""",
"""20200809""","""BAL""",15,"""WAS""",12,6,2,54,2,"""""","""BAL12""",
"""20200809""","""TOR""",13,"""BOS""",15,3,5,53,"""BOS07""","""001101000""","""011001002""",34
"""20200809""","""CLE""",17,"""CHA""",16,5,4,60,"""CHI12""","""0020000102""","""0100020001""",35
"""20200809""","""MIN""",16,"""KCA""",17,2,4,51,"""KAN06""","""002000000""","""20100100x""",34
"""20200809""","""HOU""",15,"""OAK""",16,2,7,51,"""OAK01""","""000200000""","""01401010x""",31
"""20200809""","""COL""",15,"""SEA""",17,3,5,51,"""SEA03""","""000000030""","""20000030x""",34
"""20200809""","""NYA""",16,"""TBA""",16,3,4,53,"""STP01""","""100020000""","""000000301""",34
"""20200809""","""ANA""",16,"""TEX""",14,3,7,51,"""ARL02""","""000021000""","""00141001x""",32
"""20200810""","""ARI""",17,"""COL""",16,12,8,54,"""DEN02""","""203300301""","""102310001""",45
"""20200810""","""SDN""",17,"""LAN""",17,2,1,54,"""LOS03""","""000011000""","""100000000""",29
"""20200810""","""MIN""",17,"""MIL""",14,4,2,54,"""MIL06""","""004000000""","""010000010""",34
"""20200810""","""WAS""",13,"""NYN""",17,16,4,54,"""NYC20""","""014072200""","""000002011""",44
"""20200810""","""ATL""",18,"""PHI""",11,8,13,51,"""PHI13""","""010000007""","""37021000x""",34
"""20200810""","""OAK""",17,"""ANA""",17,9,10,51,"""ANA01""","""032400000""","""30130201x""",35
"""20200810""","""TBA""",17,"""BOS""",16,8,7,54,"""BOS07""","""010211210""","""301001020""",40
"""20200810""","""CHA""",17,"""DET""",14,1,5,51,"""DET05""","""000000100""","""00010130x""",36
"""20200810""","""SFN""",18,"""HOU""",16,4,6,51,"""HOU03""","""000000013""","""01400100x""",33
"""20200810""","""SEA""",18,"""TEX""",15,10,2,54,"""ARL02""","""001035100""","""101000000""",41
"""20200811""","""KCA""",18,"""CIN""",17,5,6,57,"""CIN09""","""0011100200""","""0230000001""",40
"""20200811""","""ARI""",18,"""COL""",17,7,8,51,"""DEN02""","""000100105""","""00020006x""",39
"""20200811""","""SDN""",18,"""LAN""",18,6,2,54,"""LOS03""","""005010000""","""010000001""",34
"""20200811""","""MIN""",18,"""MIL""",15,4,6,51,"""MIL06""","""202000000""","""10001202x""",36
"""20200811""","""WAS""",14,"""NYN""",18,2,1,54,"""NYC20""","""110000000""","""000100000""",32
"""20200811""","""BAL""",16,"""PHI""",12,10,9,60,"""PHI13""","""0000032032""","""0020100321""",43
"""20200811""","""OAK""",18,"""ANA""",18,0,6,51,"""ANA01""","""000000000""","""00050100x""",31
"""20200811""","""TBA""",18,"""BOS""",17,8,2,54,"""BOS07""","""101000600""","""010000010""",36
"""20200811""","""CHN""",14,"""CLE""",18,7,1,54,"""CLE08""","""010005100""","""000001000""",34
"""20200811""","""CHA""",18,"""DET""",15,8,4,54,"""DET05""","""400101200""","""000020002""",34
"""20200811""","""SFN""",19,"""HOU""",17,7,6,60,"""HOU03""","""0100103011""","""0310020000""",40
"""20200811""","""ATL""",19,"""NYA""",17,6,9,51,"""NYC21""","""000003120""","""30302010x""",38
"""20200811""","""SEA""",19,"""TEX""",16,2,4,51,"""ARL02""","""000020000""","""20200000x""",31
"""20200811""","""MIA""",11,"""TOR""",14,4,5,58,"""BUF05""","""0100000030""","""0000031001""",34
"""20200812""","""KCA""",19,"""CIN""",18,5,4,54,"""CIN09""","""101111000""","""000000400""",30
"""20200812""","""ARI""",19,"""COL""",18,13,7,54,"""DEN02""","""100130800""","""010310020""",44
"""20200812""","""SDN""",19,"""LAN""",19,0,6,51,"""LOS03""","""000000000""","""00002004x""",32
"""20200812""","""MIN""",19,"""MIL""",16,12,2,54,"""MIL06""","""051141000""","""000002000""",41
"""20200812""","""WAS""",15,"""NYN""",19,6,11,51,"""NYC20""","""300001011""","""40100501x""",35
"""20200812""","""BAL""",17,"""PHI""",13,5,4,54,"""PHI13""","""001210100""","""012000010""",38
"""20200812""","""OAK""",19,"""ANA""",19,8,4,54,"""ANA01""","""120110030""","""102001000""",36
"""20200812""","""TBA""",19,"""BOS""",18,9,5,54,"""BOS07""","""132200001""","""000000050""",39
"""20200812""","""CHN""",15,"""CLE""",19,7,2,54,"""CLE08""","""001031011""","""000010100""",33
"""20200812""","""CHA""",19,"""DET""",16,7,5,54,"""DET05""","""201040000""","""100400000""",38
"""20200812""","""SFN""",20,"""HOU""",18,1,5,51,"""HOU03""","""100000000""","""00001400x""",34
"""20200812""","""ATL""",20,"""NYA""",18,3,6,51,"""NYC21""","""020000001""","""02022000x""",38
"""20200812""","""SEA""",20,"""TEX""",17,4,7,51,"""ARL02""","""040000000""","""00000115x""",34
"""20200812""","""MIA""",12,"""TOR""",15,14,11,60,"""BUF05""","""3050300003""","""0022221200""",43
"""20200813""","""MIL""",17,"""CHN""",16,2,4,51,"""CHI11""","""000000101""","""11000200x""",30
"""20200813""","""PIT""",17,"""CIN""",19,9,6,54,"""CIN09""","""270000000""","""010200111""",37
"""20200813""","""SDN""",20,"""LAN""",20,2,11,51,"""LOS03""","""200000000""","""32132000x""",33
"""20200813""","""WAS""",16,"""NYN""",20,2,8,51,"""NYC20""","""100001000""","""01024001x""",34
"""20200813""","""BAL""",18,"""PHI""",14,11,4,54,"""PHI13""","""000040232""","""000200020""",39
"""20200813""","""TBA""",20,"""BOS""",19,17,8,54,"""BOS07""","""205306001""","""301100003""",47
"""20200814""","""SDN""",21,"""ARI""",20,1,5,51,"""PHO01""","""000000001""","""00000104x""",34
"""20200814""","""MIL""",18,"""CHN""",17,4,3,54,"""CHI11""","""000013000""","""000030000""",31
