Date,Visiting,Visiting game num,Home,Home game num,Visiting score,Home score,Num outs,Ballpark,away 1th inning,away 2th inning,away 3th inning,away 4th inning,away 5th inning,away 6th inning,away 7th inning,away 8th inning,away 9th inning,away 10th inning,away 11th inning,away 12th inning,away 13th inning,away 14th inning,away 15th inning,away 16th inning,away 17th inning,away 18th inning,away 19th inning,away 20th inning,home 1th inning,home 2th inning,home 3th inning,home 4th inning,home 5th inning,home 6th inning,home 7th inning,home 8th inning,home 9th inning,home 10th inning,home 11th inning,home 12th inning,home 13th inning,home 14th inning,home 15th inning,home 16th inning,home 17th inning,home 18th inning,home 19th inning,home 20th inning
20200729,COL,5,OAK,6,5,1,54,OAK01,0,1,0,1,0,0,0,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
20200729,ARI,6,TEX,5,4,7,51,ARL02,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,0,0,0,1,1,0,0,5,0,,,,,,,,,,,
20200729,WAS,6,TOR,6,4,0,60,WAS11,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
20200730,LAN,7,ARI,7,6,3,54,PHO01,3,1,0,0,1,1,0,0,0,,,,,,,,,,,,0,0,1,0,0,2,0,0,0,,,,,,,,,,,
20200730,TBA,7,ATL,7,1,2,51,ATL03,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,,,,,,,,,,,
20200730,BOS,7,NYN,7,4,2,54,NYC20,0,1,0,2,0,0,0,0,1,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,,,,,,,,,,,
20200730,SDN,7,SFN,7,12,7,60,SFO03,0,0,1,2,0,2,1,0,0,6,,,,,,,,,,,0,0,0,0,1,0,3,2,0,1,,,,,,,,,,
20200730,SEA,7,ANA,7,8,5,54,ANA01,3,0,0,0,0,0,0,0,5,,,,,,,,,,,,0,0,0,0,2,0,0,0,3,,,,,,,,,,,
20200730,NYA,5,BAL,5,8,6,54,BAL12,5,0,0,0,0,0,0,0,3,,,,,,,,,,,,2,2,0,0,0,0,0,2,0,,,,,,,,,,,
20200730,KCA,7,DET,7,5,3,54,DET05,1,1,0,0,0,0,1,2,0,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,,,,,,,,,,,
20200730,CLE,7,MIN,6,2,0,54,MIN04,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
20200730,WAS,7,TOR,7,6,4,54,WAS11,0,0,2,2,1,0,0,1,0,,,,,,,,,,,,1,0,0,1,0,0,1,1,0,,,,,,,,,,,
20200731,LAN,8,ARI,8,3,5,51,PHO01,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,0,0,0,0,0,1,0,4,0,,,,,,,,,,,
20200731,NYN,8,ATL,8,10,11,51,ATL03,0,0,0,2,6,2,0,0,0,,,,,,,,,,,,2,0,0,0,3,1,0,5,0,,,,,,,,,,,
20200731,PIT,7,CHN,7,3,6,51,CHI11,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,0,0,1,1,2,0,0,2,0,,,,,,,,,,,
20200731,SDN,8,COL,6,8,7,54,DEN02,0,0,0,0,0,3,1,0,4,,,,,,,,,,,,2,0,0,0,0,2,1,0,2,,,,,,,,,,,
20200731,TEX,6,SFN,8,2,9,51,SFO03,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,0,1,0,0,3,2,3,0,0,,,,,,,,,,,
20200731,HOU,7,ANA,8,9,6,54,ANA01,0,4,0,1,1,0,2,0,1,,,,,,,,,,,,0,0,1,3,0,0,1,1,0,,,,,,,,,,,
20200731,TBA,8,BAL,6,3,6,51,BAL12,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,3,1,0,1,1,0,,,,,,,,,,,
20200731,CIN,7,DET,8,2,7,51,DET05,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,0,0,1,0,2,0,2,2,0,,,,,,,,,,,
20200731,CHA,7,KCA,8,3,2,54,KAN06,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,,,,,,,,,,,
20200731,CLE,8,MIN,7,1,4,51,MIN04,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,3,1,0,0,0,0,0,0,0,,,,,,,,,,,
20200731,BOS,8,NYA,6,1,5,51,NYC21,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,0,0,2,1,0,0,0,2,0,,,,,,,,,,,
20200731,OAK,7,SEA,8,3,5,51,SEA03,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,0,0,0,3,2,0,0,0,0,,,,,,,,,,,
20200801,LAN,9,ARI,9,11,2,54,PHO01,0,0,0,3,5,0,0,3,0,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,,,,,,,,,,,
20200801,NYN,9,ATL,9,1,7,51,ATL03,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,2,3,0,0,1,1,0,0,0,,,,,,,,,,,
20200801,PIT,8,CHN,8,3,4,51,CHI11,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,0,0,2,0,0,0,0,2,0,,,,,,,,,,,
20200801,SDN,9,COL,7,1,6,51,DEN02,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,0,3,1,1,1,0,0,0,0,,,,,,,,,,,
20200801,TEX,7,SFN,9,3,7,51,SFO03,2,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,0,2,0,0,1,0,2,0,,,,,,,,,,,
20200801,HOU,8,ANA,9,4,5,59,ANA01,0,0,0,0,0,0,1,0,3,0,,,,,,,,,,,0,0,0,0,0,2,0,1,1,1,,,,,,,,,,
